Skills,Job Industry,Course Title,Course Category,Course Subcategory,Skills Achieved,Course Modules,Similarity Score
"UI/UX, User Research, Figma, Adobe XD, Color Theory",Design & Creative,UX: Visual Design Process,Computer Science,Design and Product,"Prototyping, Design Elements And Principles, User Centered Design, Storytelling, Style Guides, Design Reviews, Interactive Design, User Experience Design, Oral Expression, Color Theory, Typography, Adobe XD, Digital Design, Graphic and Visual Design, Human Centered Design, Wireframing, Figma (Design Software)","Visual Design Foundations: In this module, we will build a strong foundation in visual design by exploring its core elements and principles. You will delve into fundamental concepts like line, shape, color, and texture, and learn how they interact to create aesthetically pleasing and functional designs. By mastering these basics, you will be prepared to craft designs that are both impactful and harmonious.
Handling Feedback as a UX Designer: In this module, we will uncover the critical role feedback plays in shaping exceptional UX designs. You will learn to navigate the complexities of handling feedback by exploring how to request constructive input, embrace a growth-oriented mindset, and transform critiques into actionable improvements. This section equips you with the tools to foster productive dialogue and evolve as a designer.
Receiving UX Feedback by Example: In this module, we will explore real-world scenarios to better understand how to receive and respond to different kinds of UX feedback. Through examples, you will learn how to handle constructive criticism, manage unhelpful or prescriptive comments, and maintain a professional demeanor in all situations. This practical approach will strengthen your ability to turn feedback into opportunities for growth.
Collecting Design Inspiration: In this module, we will explore essential sites and tools for collecting design inspiration that fuel creativity and innovation. You'll learn how to strategically source ideas, compare platforms, and create an organized repository for your design projects.
Introduction to Wireframing: In this module, we will delve into the fundamentals of wireframing, including its purpose, benefits, and practical applications. Through a mix of demonstrations and hands-on activities, you'll learn to create wireframes on paper and with tools like Balsamiq and Adobe XD. By the end, you'll understand the strengths and limitations of each approach and be equipped to share and refine your wireframes effectively.
Practice Sketching: In this module, we will practice sketching by tackling real-world design problems and proposing creative solutions. You'll develop your ability to visually translate concepts into sketches, ensuring clarity and effectiveness in presenting your ideas.
Practice Wireframing: In this module, we will apply wireframing techniques to address specific design challenges. You'll practice building wireframes as a problem-solving tool, focusing on clarity, functionality, and user-centric solutions.
Typography for Designers: In this module, we will uncover the art and science of typography, from foundational principles to advanced applications. You'll learn essential terminology, explore the differences between print and digital typography, and discover how to select and combine typefaces effectively. Through hands-on exercises, you'll master typographic hierarchy, responsive design, and variable fonts, ensuring your typography elevates both form and function in your designs.
Before and After: Typography: In this module, we will analyze and transform typographic designs, comparing their ""before"" and ""after"" states. By revisiting initial layouts and refining them with advanced typographic techniques, you'll gain a deeper understanding of how thoughtful typography enhances both aesthetics and user experience.
Designing Layouts: In this module, we will focus on designing cohesive and functional layouts by integrating multiple design elements. You'll learn to refine text content, structure visual hierarchy, align elements using grids, and select colors that enhance usability and accessibility. By mastering these techniques, you'll create layouts that are both visually appealing and user-friendly.
Creating Mockups: In this module, we will explore the essentials of creating mockups, from understanding their purpose to preparing and building them. You'll learn step-by-step techniques to create professional mockups, streamline your process, and effectively communicate your designs to stakeholders.
Before and After: Color: In this module, we will evaluate and refine color palettes by comparing their ""before"" and ""after"" states. You'll learn how to address common color-related issues and implement changes that improve the overall aesthetic and functionality of your designs.
Before and After: Layout: In this module, we will examine and transform layouts, focusing on the improvements made between ""before"" and ""after"" iterations. You'll gain insight into how adjustments to structure and design elements can significantly enhance the effectiveness and aesthetics of a layout.
Prototyping with Adobe XD: In this module, we will dive into prototyping with Adobe XD, covering everything from basic tools to advanced interactive features. You'll learn to create artboards, add shapes, images, and text, and build functional prototypes with interactivity. By the end, you'll be equipped to design and share professional prototypes that bring your ideas to life.
Prototyping with Figma: In this module, we will explore prototyping with Figma, from project setup to creating interactive designs. You'll learn how to arrange elements, draw shapes and curved lines, and build reusable components. By the end, you'll be equipped to design complete interfaces and share interactive prototypes seamlessly.
Practice Prototyping: In this module, we will apply prototyping skills to solve real-world design challenges. You'll work through the process of creating and refining an interactive prototype, focusing on effectively translating ideas into functional solutions.
Collaborating with Developers: In this module, we will focus on fostering productive collaboration with developers throughout the design process. You'll learn strategies for clear communication, bridging the gap between design and development, and ensuring a seamless final handoff of your designs for implementation.
Presenting Design Ideas: In this module, we will focus on presenting design ideas effectively, from understanding your audience to structuring a compelling narrative. You'll learn how to set clear goals, communicate your problem-solving approach, and outline actionable next steps, ensuring your designs resonate and gain stakeholder buy-in.",0.6450671553611755
"UI/UX, User Research, Figma, Adobe XD, Color Theory",Design & Creative,UX Web Design: Build User-Centric Websites,Computer Science,Design and Product,"User Research, Graphic and Visual Design, User Story, UI/UX Research, Prototyping, Usability, User Experience Design, Persona Development, Wireframing, User Centered Design, Experience Design, Logo Design","Introduction to User Experience (UX): In this comprehensive module, students will explore the essential principles that highlight the importance of User Experience (UX). Through dynamic discussions and practical examples, participants will not only understand the core of UX but also learn to express its critical role in developing innovative designs. This module goes beyond theoretical knowledge, enabling students to apply key UX principles, such as Miller's Law, Jakob's Law, Von Restorff Effect, and more. By the conclusion of this module, students will have a solid understanding of UX's theoretical underpinnings within the digital environment.
Unlocking UX: Strategy, Use Cases, Logo Design: In this module, you'll learn how to align product objectives with user needs, creating not just effective but enjoyable experiences. We'll dive into the art of visual design, examining various logo types, from the simple beauty of Letter Marks to the detailed complexity of Combination Marks, enhancing your understanding of brand identity. Additionally, you'll gain skills in developing comprehensive use cases, which include both broad overviews and in-depth analyses, to fully grasp user interactions. By the end of this module, you'll become adept in logo design nuances and skilled in crafting user-focused use cases.
Introduction to User Research: In this module, you will begin a comprehensive exploration to master the art and science of user research. You will learn to distinguish between qualitative and quantitative research techniques through an in-depth examination of methodological nuances, equipping yourself with a broad range of tools to uncover valuable insights. You will learn how to become proficient in conducting user interviews and designing questions that reveal user needs, motivations, and pain points. Additionally, you will explore the strategic process of persona differentiation, learning how to create vivid user personas that enhance the design process. As a concluding highlight, the module clarifies the challenge of shopping cart abandonment, providing practical strategies to minimize it when developing engaging apps and websites.
Scoping and Balsamiq: Intro to Wireframing: In this module, you will navigate the foundational elements of UX design, focusing on the art of defining the project scope to ensure a clear vision and purpose. You will explore the Scope Plane, a fundamental aspect of the UX design process, which offers a structured method to clarify and refine project goals. This module teaches you how to transform those ideas into low-fidelity blueprints. Through interactive activities and guided lab sessions, you will become proficient in creating clear, functional wireframes with industry-standard tools like Balsamiq. You'll engage in the process of sketching, iterating, and testing your wireframes, thereby gaining valuable hands-on experience. By the end of this module, participants will not only possess the skills to effectively define project scopes but will also be prepared to turn their design concepts into reality with precision and clarity.
Conclusion",0.623015284538269
"UI/UX, User Research, Figma, Adobe XD, Color Theory",Design & Creative,User Research and Design,Computer Science,Design and Product,"People Analytics, Data Collection, Statistical Analysis, Data Analysis, Interviewing Skills, Surveys, UI/UX Research, User Interface (UI), Design Research, User Research, User Centered Design, Ideation, Qualitative Research, Persona Development, User Experience, User Story","Preface: Note that weeks 1 and 2 form a cohesive whole, with more lecture content in week 1, and more practice (assignment and quizzing) in week 2.
User Research Methods — Part 1: The 3rd and 4th week of the course are intended to be a unit, with more lecture content in week 3, and more practice (assignment and quizzing) in week 4.
User Research Methods — Part 2
Analyzing and Delivering User Research
Ideation and Idea Selection",0.6157177686691284
"UI/UX, User Research, Figma, Adobe XD, Color Theory",Design & Creative,"Designing, Running, and Analyzing Experiments",Computer Science,Design and Product,"Usability Testing, Statistical Analysis, Statistical Hypothesis Testing, User Experience, Data Analysis, Experimentation, Statistical Modeling, R Programming, UI/UX Research, Statistics, Human Computer Interaction, A/B Testing, Research Design","Basic Experiment Design Concepts: In this module, you will learn basic concepts relevant to the design and analysis of experiments, including mean comparisons, variance, statistical significance, practical significance, sampling, inclusion and exclusion criteria, and informed consent. You'll also learn to think of an experiment in terms of usability, its participants, apparatus, procedure, and design & analysis. This module covers lecture videos 1-2.
Tests of Proportions: In this module, you will learn how to analyze user preferences (or other tallies) using tests of proportions. You will also get up and running with R and RStudio. Topics covered include independent and dependent variables, variable types, exploratory data analysis, p-values, asymptotic tests, exact tests, one-sample tests, two-sample tests, Chi-Square test, G-test, Fisher's exact test, binomial test, multinomial test, post hoc tests, and pairwise comparisons. This module covers lecture videos 3-9.
The T-Test: In this module, you will learn how to design and analyze a simple website A/B test. Topics include measurement error, independent variables as factors, factor levels, between-subjects factors, within-subjects factors, dependent variables as responses, response types, balanced designs, and how to report a t-test. You will perform your first analysis of variance in the form of an independent-samples t-test. This module covers lecture videos 10-11.
Validity in Design and Analysis: In this module, you will learn about how to ensure that your data is valid through the design of experiments, and that your analyses are valid by understanding and testing for certain assumptions. Topics include how to achieve experimental control, confounds, ecological validity, the three assumptions of ANOVA, data distributions, residuals, normality, homoscedasticity, parametric versus nonparametric tests, the Shapiro-Wilk test, the Kolmogorov-Smirnov test, Levene's test, the Brown-Forsythe test, and the Mann-Whitney U test. This module covers lecture videos 12-15.
One-Factor Between-Subjects Experiments: In this module, you will learn about one-factor between-subjects experiments. The experiment examined will be a between-subjects study of task completion time with various programming tools. You will understand and analyze data from two-level factors and three-level factors using the independent-samples t-test, Mann-Whitney U test, one-way ANOVA, and Kruskal-Wallis test. You will learn how to report an F-test. You will also understand omnibus tests and how they relate to post hoc pairwise comparisons with adjustments for multiple comparisons. This module covers lecture videos 16-18.
One-Factor Within-Subjects Experiments: In this module, you will learn about one-factor within-subjects experiments, also known as repeated measures designs. The experiment examined will be a within-subjects study of subjects searching for contacts in a smartphone contacts manager, including the analysis of times, errors, and effort Likert-type scale ratings. You will learn counterbalancing strategies to avoid carryover effects, including full counterbalancing, Latin Squares, and balanced Latin Squares. You will understand and analyze data from two-level factors and three-level factors using the paired-samples t-test, Wilcoxon signed-rank test, one-way repeated measures ANOVA, and Friedman test. This module covers lecture videos 19-23.
Factorial Experiment Designs: In this module, you will learn about experiments with multiple factors and factorial ANOVAs. The experiment examined will be text entry performance on different smartphone keyboards while sitting, standing, and walking. Topics include mixed factorial designs, interaction effects, factorial ANOVAs, and the Aligned Rank Transform as a nonparametric factorial ANOVA. This module covers lecture videos 24-27.
Generalizing the Response: In this module, you will learn about analyses for non-normal or non-numeric responses for between-subjects experiments using Generalized Linear Models (GLM). We will revisit three previous experiments and analyze them using generalized models. Topics include a review of response distributions, nominal logistic regression, ordinal logistic regression, and Poisson regression. This module covers lecture videos 28-29.
The Power of Mixed Effects Models: In this module, you will learn about mixed effects models, specifically Linear Mixed Models (LMM) and Generalized Linear Mixed Models (GLMM). We will revisit our prior experiment on text entry performance on smartphones but this time, keeping every single measurement trial as part of the analysis. The full set of analyses covered in this course will also be reviewed. This module covers lecture videos 30-33.",0.6157134771347046
"UI/UX, User Research, Figma, Adobe XD, Color Theory",Design & Creative,Advanced UX Strategies for Product Managers,Computer Science,Design and Product,"Storytelling, Usability Testing, User Centered Design, UI/UX Strategy, User Research, Prioritization, Usability, Figma (Design Software), Human Centered Design, Product Improvement, Design Research, Wireframing, User Experience Design, User Experience, User Feedback, Data Storytelling, Design Strategies","Advanced UX Strategies for Product Managers: In this course, you'll explore practical UX strategies to bridge the gap between shipped features and real user needs. Through hands-on experience with tools like Figma and JTBD templates, you'll learn to create empathy maps, user journey flows, and feature scorecards. You'll also evaluate product experiences using heuristic methods and build alignment across teams to prioritize user-centric design decisions that drive engagement and growth.",0.6025233268737793
"UI/UX, User Research, Figma, Adobe XD, Color Theory",Design & Creative,Interaction Design Capstone Project,Computer Science,Design and Product,"Creativity, Human Centered Design, Design Thinking, Mockups, Design Research, User Experience Design, Usability, A/B Testing, User Interface and User Experience (UI/UX) Design, User Research, Prototyping, Interaction Design, Innovation, Usability Testing, Ideation","Design Thinking Capstone: Welcome to the Interaction Design Capstone Project!
Needfinding: As Yogi Berra said, you can observe a lot just by watching. Watching how people do things is a great way to learn their goals and values, and come up with design insight. We call this needfinding. This module trains your eyes and ears to come up with user needs, breakdowns, clever hacks, and opportunities for improvement.
Ideation: To maximize your chances of having a great idea, it helps to generate a lot of ideas. Brainstorming is a strategy for rapidly generating lots of ideas. It was named by advertising executive Alex Osborn in his 1953 book, Applied Imagination. When brainstorming, go for volume and defer judgment. Often, something that seems like a crazy idea can lead to something that's a really good idea. Immerse yourself: it can help to use a whiteboard, butcher paper, or stick post-its on a wall. These ideas will become the 'soil' for growing your designs.
Prototype: Prototyping is the pivotal activity that structures innovation, collaboration, and creativity in design. Prototyping gets ideas out of your head and into the world. Like a conversation, your ideas will evolve as you articulate them and make them concrete. Prototypes are quick and dirty, not careful museum pieces. The key to prototyping is to jump right in. It's a tool to see what's working, what challenges emerge, and to share your ideas with others. Review the user needs you brainstormed. In this assignment, you will flesh out your design ideas by storyboarding and making paper prototypes.
Design Heuristics: Design can succeed (or fail) in many ways. That said, there are common heuristics that will get you on the right path. In this module, you will conduct heuristic evaluations (HEs) of another learner's paper prototype. The heuristic evaluations will be a way to highlight usability issues, and think about how to improve them.
A Plan & a Skeleton: A journey of a thousand miles begins with a single step. Figuring out what that first step is--and then what the one after that is--can be especially daunting with creative projects. Making forward progress is a lot easier if you write down concrete, actionable goals. This is the main benefit of a development plan. A development plan also helps you track momentum. Are things progressing at the pace you expected? Faster? Slower? Writing a time estimate into your plan and tracking how long it actually took helps you gauge your pace. The first steps of your plan should be the skeleton that forms the core screens of your design.
Ready for Testing: Crunch time! Your interactive prototypes have to be ready for user testing by the end of this assignment.
Test your prototype: In this assignment, you will test your prototype in person with two people to find usability bugs & potential improvements.
Results!: You've got data from online users that compares two alternatives. How can you tell whether there is a real difference? Statistical tests, like the CHI-squared test, tell you whether the behavior you observed was likely to have occurred by chance, or whether there's likely to be a real difference between the designs. A/B experiments like these are becoming increasingly popular in industry because experiments help you test your assumptions.
Show & Tell: You've done all this great work, and your hard effort has paid off. You've brainstormed, prototyped, designed, iterated, refined, and evaluated. Now's your chance to share your work with the world. This is a great opportunity to tell your design story, and use it as a portfolio to impress your friends, family, and potential employers.",0.5967384576797485
"UI/UX, User Research, Figma, Adobe XD, Color Theory",Design & Creative,Gamification,Computer Science,Design and Product,"Solution Design, Human Centered Design, Emerging Technologies, Drive Engagement, Behavioral Economics, Psychology, Design Thinking, Risk Analysis, Game Design, Employee Engagement, Organizational Development, Marketing, Industrial and Organizational Psychology, Customer Engagement","Gamification and Games: Gamification is a new field, but games are ancient. In this first module, we'll look at what gamification is, why organizations are applying it, and where it comes from. While there isn't universal agreement on the scope of the field, a set of concepts are clearly representative of gamification. The second lesson explains why the concept of games is deeper than most people realize, and how game design serves as a foundation for gamification.
Deconstructing Games: What exactly does it mean to apply game design principles in non-game contexts? In this module, we'll discuss how game designers approach their craft, and how to see any situation through the lens of game design. Then we'll examine the raw materials of games and gamification, known as game elements. We'll earn how to break down a game into its constituent parts and apply them to create gamified systems.
Motivation and Psychology: Gamification is a technique for motivation, so it ties very directly into psychology. This unit introduces the major psychological concepts relevant to gamification. The first lesson focuses on behavioral approaches and reward design; the second identifies the risks and alternatives to this approach.
Design: Gamification done well is a form of design. This module describes the design process, and provides a six-step  framework to apply to any gamification project. The second lesson identifies important considerations and options for developing creative, human-centered, thoughtful gamification solutions.
Applications: This module describes particular challenges and opportunities when applying gamification in two contexts: within an organization, and in social impact or behavior change environments.
Gamification in Perspective: There are many legitimate limitations, concerns, and dangers from gamification. Some of them can be avoided through thoughtful design, but others must be considered directly in any implementation. The final lesson details gamification-related techniques that go beyond those covered throughout the course, and concludes with a look toward the future.",0.5875307321548462
"UI/UX, User Research, Figma, Adobe XD, Color Theory",Design & Creative,Interaction Intelligence: Advanced Prototyping with Figma,Computer Science,Design and Product,"User Interface (UI), Figma (Design Software), User Experience Design, Interaction Design, Usability, Animations, Responsive Web Design, Prototyping, Mockups, User Flows","Advanced Prototyping and Interaction Design: Learn to design intuitive navigation systems and micro-interactions, implement responsive design principles, and utilize Figma's advanced prototyping features to create complex, high-fidelity interactive prototypes for the GreenLeaf Grocers app.",0.5815405249595642
"UI/UX, User Research, Figma, Adobe XD, Color Theory",Design & Creative,UX Design: From Concept to Prototype,Computer Science,Design and Product,"Prototyping, Wireframing, User Experience Design, Conceptual Design, User Research, User Centered Design, Ideation, Storyboarding, Interaction Design, Mockups, User Story, Usability Testing, User Interface (UI)","Introduction to the Design Process: In this module, you will be introduced to the nature of design, the design process, and methods of formative research. You are expected to spend 2 to 3 hours on this module's workload. By the end of this module, you will understand the user experience design process and how to conduct formative research.
Ideation: This module will cover one of the practical topics in this course --- ideation. You will brainstorm and sketch possible solutions to your design problem in this module's assignment. You will also share your sketches with your fellow learners, hear their thoughts about your designs, and provide feedback on their work. By the end of this module, you will gain an understanding of various methods of ideation, as well as the structure developed by Haakon Faste and Eric Paulos for brainstorming.
Design Constraints and Making Choices: This module will introduce the other practical topics --- creation of early design representations like scenarios, personas, and storyboards that illuminate findings about user needs discovered through your formative research. By the end of this module, you will learn how designers move from formative research to a design solution, how the ""Questions, Options, Criteria"" framework can help us make design decisions, and gain hands-on experience in creating personas, scenarios, and storyboards.
Building Blocks of User Interaction: In this module, we will start with understanding the conceptual underpinnings of user interactions by introducing the basic building blocks of user interaction. In addition to lectures, quizzes and discussions, this module involves actual design work: planning out the kinds of information the system you are designing will need to take in, and the kinds of feedback it will need to provide to users. By the end of this module, you will be able to define the elements of user interaction and types of data input. You will also be able to design effective inputs and outputs to enable users to complete tasks successfully as well as conceptualize design problems by using the building blocks of user interaction.
Low to Hi-Fidelity Prototyping: Module 5 will provide an overview of different forms of prototyping. Your design work for this module will be wireframing the main screens of your application. By the end of this module, you will be able to identify the characteristics and applications of low-fidelity and hi-fidelity prototypes and apply the most effective prototype for answering a particular design question. Also, you will learn how to test design concepts and functionality by utilizing wireframes and create low-fidelity and hi-fidelity prototypes to assess and improve your design.
Conceptual Issues in Prototyping and Design: This module introduces some of the issues that designers need to think about when prototyping, such as defaults and mental models. You will create a functional low-fidelity prototype of your design. By the end of this module, you will understand the affordances and limitations of interface formats, learn to evaluate how the default features of a design impact the user experience, identify potential consequences of usage beyond a design's intentions, and describe the gulfs of execution and evaluation.",0.5776252150535583
"UI/UX, User Research, Figma, Adobe XD, Color Theory",Design & Creative,Introduction to Virtual Reality,Computer Science,Design and Product,"Human Computer Interaction, Rehabilitation, Journalism, Augmented and Virtual Reality (AR/VR), Virtual Reality, Unity Engine, Human Factors, Display Devices, Mental Health Therapies, Virtual Environment, Video Game Development","Virtual Reality- Hardware and History: In this week, we'll cover the basics of VR. We'll start by sharing a definition of Virtual Reality, and exploring VR hardware, and then you'll see demonstrations of a range of VR Head Mounted Devices. In the latter part of the week, you will hear more about the history of Virtual Reality and finish the week by drafting your ideas for a VR application.
VR Applications: This week, you'll learn more about the different applications of VR- from news and documentaries, to sports, therapy, and games. You will also learn more about the VR Technical Framework, and will have the opportunity to share your thoughts on VR applications with your peers.
The Psychology of VR: the Three Illusions: In this week, Professor Mel Slater will take us through the Three Illusions. We'll discuss Place Illusion, Plausibility Illusion, and Embodiment Illusion, with some interesting tricks along the way!
Challenges in Virtual Reality",0.5722833275794983
